"mode","parallel_slots","repetition","generated_tokens","wall_seconds","aggregate_generated_tps","per_request_tps_mean","request_latency_median_seconds","ttft_median_seconds","peak_process_owned_vram_mib","completed_requests","errors"
"stock","4","1","512","22.529734600000666","22.72552291849833","7.54438266436024","22.475376999995206","5.441580899998371","4130.66796875","4","0"
"expertflow","4","1","512","16.47759380000207","31.07249797600519","10.512134424152","16.4327731999947","4.210172499995679","11996.8125","4","0"
"stock","4","2","512","27.092200400002184","18.8984280508998","6.88254588816724","27.09138830000302","8.493541600000754","4130.66796875","4","0"
"expertflow","4","2","512","20.311720099998638","25.207121675531276","10.3822629660152","20.3110078000027","7.984178799997608","11996.8125","4","0"
"stock","4","3","512","24.71277050000208","20.718033212826416","7.81758186330036","24.71175100000255","8.33822639999562","4130.66796875","4","0"
"expertflow","4","3","512","13.221335100002761","38.72528728206073","11.9022864166507","13.220542600000044","2.466463400000066","11996.8125","4","0"
"stock","4","4","512","18.137579100002768","28.228684609839792","8.78989860975805","18.136930200002098","3.573809800000163","4130.66796875","4","0"
"expertflow","4","4","512","11.405493300000671","44.89064931544608","12.7274250254509","11.404554000000644","1.3862267000004067","11996.8125","4","0"
"stock","4","5","512","15.977699299997767","32.04466365192338","9.09062214559794","15.976518200004648","1.9428034000011394","4130.66796875","4","0"
"expertflow","4","5","512","13.314584000007017","38.45407411900591","11.8564528782644","13.313861499998893","2.517191399994772","11996.8125","4","0"
