pair,order,mode,decode_tps,prompt_tps,wall_seconds,process_owned_peak_mib,response_sha256,valid
1,1,off,20.1,11.5,35.537103,3098.656,7a5b8b8b055b3a6a884349ce7971b42827c736e2391b3e204178ccd23e21903d,True
1,2,on,27.8,21.3,40.051406,10966.801,d486092ed666a0bbb5b8eaf0517996b6a4ab1b129b00d5f81bd65017a0887e5a,True
2,1,on,28.5,22.3,40.056601,10966.801,d486092ed666a0bbb5b8eaf0517996b6a4ab1b129b00d5f81bd65017a0887e5a,True
2,2,off,23.1,18.5,30.264415,3098.656,7a5b8b8b055b3a6a884349ce7971b42827c736e2391b3e204178ccd23e21903d,True
3,1,off,22.0,17.3,31.516396,3098.656,7a5b8b8b055b3a6a884349ce7971b42827c736e2391b3e204178ccd23e21903d,True
3,2,on,28.3,22.5,38.736615,10966.801,d486092ed666a0bbb5b8eaf0517996b6a4ab1b129b00d5f81bd65017a0887e5a,True
4,1,on,28.1,23.4,40.023886,10966.801,d486092ed666a0bbb5b8eaf0517996b6a4ab1b129b00d5f81bd65017a0887e5a,True
4,2,off,23.1,18.4,30.238591,3098.656,7a5b8b8b055b3a6a884349ce7971b42827c736e2391b3e204178ccd23e21903d,True
5,1,off,21.8,16.7,32.672067,3098.656,7a5b8b8b055b3a6a884349ce7971b42827c736e2391b3e204178ccd23e21903d,True
5,2,on,28.2,22.5,38.779158,10966.801,d486092ed666a0bbb5b8eaf0517996b6a4ab1b129b00d5f81bd65017a0887e5a,True
6,1,on,28.3,22.6,39.942295,10966.801,d486092ed666a0bbb5b8eaf0517996b6a4ab1b129b00d5f81bd65017a0887e5a,True
6,2,off,23.2,20.1,30.301793,3098.656,7a5b8b8b055b3a6a884349ce7971b42827c736e2391b3e204178ccd23e21903d,True
7,1,off,21.7,16.6,33.984281,3098.656,7a5b8b8b055b3a6a884349ce7971b42827c736e2391b3e204178ccd23e21903d,True
7,2,on,28.0,21.7,39.934770,10966.801,d486092ed666a0bbb5b8eaf0517996b6a4ab1b129b00d5f81bd65017a0887e5a,True
8,1,on,28.0,21.9,41.131425,10966.801,d486092ed666a0bbb5b8eaf0517996b6a4ab1b129b00d5f81bd65017a0887e5a,True
8,2,off,23.0,17.7,31.474454,3098.656,7a5b8b8b055b3a6a884349ce7971b42827c736e2391b3e204178ccd23e21903d,True
9,1,off,21.8,16.4,32.684149,3098.656,7a5b8b8b055b3a6a884349ce7971b42827c736e2391b3e204178ccd23e21903d,True
9,2,on,28.2,22.4,39.893598,10966.801,d486092ed666a0bbb5b8eaf0517996b6a4ab1b129b00d5f81bd65017a0887e5a,True
10,1,on,27.9,21.7,41.198344,10966.801,d486092ed666a0bbb5b8eaf0517996b6a4ab1b129b00d5f81bd65017a0887e5a,True
10,2,off,23.0,17.9,31.546326,3098.656,7a5b8b8b055b3a6a884349ce7971b42827c736e2391b3e204178ccd23e21903d,True
