pair,order,mode,decode_tps,prompt_tps,wall_seconds,process_owned_peak_mib,response_sha256,valid
1,1,off,20.4,15.4,34.401243,3094.656,20921f923eb04884a83bb5b3421d4bdce6c1a175d441557b3e5e0cd16f4e08f5,True
1,2,on,22.2,20.8,35.183022,5720.762,8463b9a9648412b4506d95cdc4937e03cb55609b55434d1da8fd7315935391e4,True
2,1,on,23.2,30.9,30.207702,5720.762,8463b9a9648412b4506d95cdc4937e03cb55609b55434d1da8fd7315935391e4,True
2,2,off,20.4,26.8,32.824544,3094.656,20921f923eb04884a83bb5b3421d4bdce6c1a175d441557b3e5e0cd16f4e08f5,True
3,1,off,19.1,15.5,36.528859,3094.656,20921f923eb04884a83bb5b3421d4bdce6c1a175d441557b3e5e0cd16f4e08f5,True
3,2,on,21.1,16.1,36.441411,5720.762,8463b9a9648412b4506d95cdc4937e03cb55609b55434d1da8fd7315935391e4,True
4,1,on,20.9,15.3,37.643815,5720.762,8463b9a9648412b4506d95cdc4937e03cb55609b55434d1da8fd7315935391e4,True
4,2,off,20.4,15.2,34.076876,3094.656,20921f923eb04884a83bb5b3421d4bdce6c1a175d441557b3e5e0cd16f4e08f5,True
5,1,off,18.9,13.5,36.642494,3094.656,20921f923eb04884a83bb5b3421d4bdce6c1a175d441557b3e5e0cd16f4e08f5,True
5,2,on,21.7,17.3,35.190508,5720.762,8463b9a9648412b4506d95cdc4937e03cb55609b55434d1da8fd7315935391e4,True
6,1,on,21.3,18.3,36.466182,5720.762,8463b9a9648412b4506d95cdc4937e03cb55609b55434d1da8fd7315935391e4,True
6,2,off,20.5,20,33.972612,3094.656,20921f923eb04884a83bb5b3421d4bdce6c1a175d441557b3e5e0cd16f4e08f5,True
7,1,off,20.1,21.5,34.005764,3094.656,20921f923eb04884a83bb5b3421d4bdce6c1a175d441557b3e5e0cd16f4e08f5,True
7,2,on,20.2,20,36.580506,5720.762,8463b9a9648412b4506d95cdc4937e03cb55609b55434d1da8fd7315935391e4,True
8,1,on,20.4,17.9,37.721998,5720.762,8463b9a9648412b4506d95cdc4937e03cb55609b55434d1da8fd7315935391e4,True
8,2,off,19.8,19.5,35.236815,3094.656,20921f923eb04884a83bb5b3421d4bdce6c1a175d441557b3e5e0cd16f4e08f5,True
9,1,off,19.5,19.3,35.28839,3094.656,20921f923eb04884a83bb5b3421d4bdce6c1a175d441557b3e5e0cd16f4e08f5,True
9,2,on,21.5,23.8,35.167841,5720.762,8463b9a9648412b4506d95cdc4937e03cb55609b55434d1da8fd7315935391e4,True
10,1,on,21.9,29.2,31.48151,5720.762,8463b9a9648412b4506d95cdc4937e03cb55609b55434d1da8fd7315935391e4,True
10,2,off,20.4,26.6,32.755939,3094.656,20921f923eb04884a83bb5b3421d4bdce6c1a175d441557b3e5e0cd16f4e08f5,True
